B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.259500,0.184800,0.330300,0.277200,0.622600,0.932600,1.055800,1.031500,1.064900,1.261500,0.576374,-0.514907,-0.015932,1.000000
0.256200,0.192000,0.338200,0.287700,0.635700,0.905700,1.030900,0.985000,1.000100,1.272000,0.547890,-0.488815,-0.007607,1.000000
0.438400,0.243800,0.338800,0.307400,0.574100,1.186200,1.401800,1.585900,1.477200,1.587900,0.675276,-0.647945,0.035487,1.000000
0.409600,0.229400,0.328300,0.296900,0.541300,1.137700,1.360500,1.523000,1.431900,1.500800,0.673718,-0.645330,0.030830,1.000000
0.477100,0.228100,0.320500,0.305400,0.593700,1.082000,1.315300,1.506600,1.407000,1.488300,0.662914,-0.649171,0.034185,1.000000
0.477100,0.228100,0.320500,0.305400,0.593700,1.082000,1.315300,1.506600,1.407000,1.488300,0.662914,-0.649171,0.034185,1.000000
0.289700,0.313900,0.441700,0.426600,0.549800,0.792300,0.962100,0.884100,0.993500,1.046600,0.349050,-0.333685,-0.058266,1.000000
0.335500,0.243100,0.349300,0.324400,0.571500,1.145600,1.406400,1.504700,1.452300,1.430600,0.645290,-0.623193,0.017721,1.000000
0.335500,0.243100,0.349300,0.324400,0.571500,1.145600,1.406400,1.504700,1.452300,1.430600,0.645290,-0.623193,0.017721,1.000000
0.335500,0.243100,0.349300,0.324400,0.571500,1.145600,1.406400,1.504700,1.452300,1.430600,0.645290,-0.623193,0.017721,1.000000
0.566900,0.171700,0.353900,0.232600,0.673000,1.128500,1.241200,1.023700,1.265500,1.601000,0.629706,-0.486208,-0.105626,1.000000
0.480400,0.188700,0.314600,0.254300,0.511800,1.053100,1.222200,1.363800,1.276000,1.477800,0.685681,-0.625119,0.033260,1.000000
0.381400,0.237200,0.329600,0.325700,0.601600,1.094400,1.237300,1.431900,1.303500,1.426700,0.629381,-0.625774,0.046940,1.000000
0.409600,0.205800,0.340100,0.289700,0.537400,1.118000,1.351300,1.466700,1.472600,1.512500,0.670121,-0.623533,-0.002007,1.000000
0.352600,0.298800,0.481000,0.426000,0.686800,1.190800,1.313300,1.471300,1.418800,1.441800,0.550941,-0.507248,0.018165,1.000000
0.352600,0.298800,0.481000,0.426000,0.686800,1.190800,1.313300,1.471300,1.418800,1.441800,0.550941,-0.507248,0.018165,1.000000
0.352600,0.298800,0.481000,0.426000,0.686800,1.190800,1.313300,1.471300,1.418800,1.441800,0.550941,-0.507248,0.018165,1.000000
0.375500,0.248400,0.381400,0.349300,0.568200,1.030900,1.179000,1.281200,1.219600,1.395200,0.571542,-0.541201,0.024632,1.000000
0.388000,0.246400,0.386700,0.340800,0.560300,1.042700,1.189500,1.250400,1.238000,1.401800,0.571644,-0.527579,0.004983,1.000000
0.348600,0.258900,0.371600,0.346000,0.561600,0.999400,1.162600,1.286500,1.244500,1.374300,0.576110,-0.551776,0.016594,1.000000
0.303400,0.255600,0.393200,0.341400,0.584600,1.012500,1.160000,1.246500,1.244500,1.310000,0.569998,-0.520400,8.028904E-4,1.000000
0.350600,0.191400,0.336800,0.278500,0.642200,1.174400,1.308100,1.285800,1.327100,1.542700,0.643930,-0.584864,-0.015806,1.000000
0.350600,0.191400,0.336800,0.278500,0.642200,1.174400,1.308100,1.285800,1.327100,1.542700,0.643930,-0.584864,-0.015806,1.000000
0.311900,0.217600,0.305400,0.273900,0.506600,1.153400,1.361200,1.536800,1.463400,1.514500,0.697465,-0.668440,0.024465,1.000000
0.311900,0.217600,0.305400,0.273900,0.506600,1.153400,1.361200,1.536800,1.463400,1.514500,0.697465,-0.668440,0.024465,1.000000
0.302800,0.189400,0.303400,0.272000,0.582000,1.182300,1.356600,1.498100,1.463400,1.262900,0.692673,-0.663170,0.011717,1.000000
0.262100,0.161900,0.271300,0.211700,0.448900,0.985000,1.183600,1.418200,1.340800,1.313300,0.740230,-0.678840,0.028054,1.000000
0.269300,0.166500,0.292900,0.215600,0.465300,0.918100,1.066300,1.075400,1.105600,1.264200,0.665995,-0.571878,-0.013847,1.000000
0.253000,0.176300,0.304100,0.240500,0.483000,0.914900,1.080000,1.038700,1.156000,1.251100,0.623984,-0.547066,-0.053447,1.000000
